period,counts,angle_us,angleCounts,angleMM,MM,MMDataSheet
2989,1435,-200,-200,-200,0,0
2992,1436,-198,-199,-199,6,6
2994,1437,-196,-197,-197,11,12
2996,1438,-194,-195,-195,17,17
2998,1439,-193,-193,-193,23,23
3000,1440,-191,-191,-191,29,29
3002,1441,-189,-190,-190,34,35
3004,1442,-188,-188,-188,40,40
3006,1443,-186,-186,-186,46,46
3008,1444,-184,-184,-184,52,52
3010,1445,-182,-182,-182,57,58
3013,1446,-180,-181,-181,63,63
3015,1447,-178,-179,-179,69,69
3017,1448,-176,-177,-177,74,75
3019,1449,-175,-175,-175,80,81
3021,1450,-173,-173,-173,86,86
3023,1451,-171,-172,-172,92,92
3025,1452,-169,-170,-170,97,98
3027,1453,-168,-168,-168,103,104
3029,1454,-166,-166,-166,109,109
3031,1455,-164,-164,-164,115,115
3033,1456,-163,-163,-163,120,121
3035,1457,-161,-161,-161,126,127
3038,1458,-158,-159,-159,132,132
3040,1459,-157,-157,-157,137,138
3042,1460,-155,-155,-155,143,144
3044,1461,-153,-154,-154,149,150
3046,1462,-151,-152,-152,155,155
3048,1463,-150,-150,-150,160,161
3050,1464,-148,-148,-148,166,167
3052,1465,-146,-146,-146,172,173
3054,1466,-144,-145,-145,177,178
3056,1467,-143,-143,-143,183,184
3058,1468,-141,-141,-141,189,190
3060,1469,-139,-139,-139,195,196
3063,1470,-137,-137,-137,200,201
3065,1471,-135,-136,-136,206,207
3067,1472,-133,-134,-134,212,213
3069,1473,-132,-132,-132,218,219
3071,1474,-130,-130,-130,223,225
3073,1475,-128,-128,-128,229,230
3075,1476,-126,-127,-127,235,236
3077,1477,-125,-125,-125,240,242
3079,1478,-123,-123,-123,246,248
3081,1479,-121,-121,-121,252,253
3083,1480,-119,-119,-119,258,259
3085,1481,-118,-118,-118,263,265
3088,1482,-115,-116,-116,269,271
3090,1483,-113,-114,-114,275,276
3092,1484,-112,-112,-112,281,282
3094,1485,-110,-110,-110,286,288
3096,1486,-108,-109,-109,292,294
3098,1487,-107,-107,-107,298,299
3100,1488,-105,-105,-105,303,305
3102,1489,-103,-103,-103,309,311
3104,1490,-101,-101,-101,315,317
3106,1491,-100,-100,-100,321,322
3108,1492,-98,-98,-98,326,328
3110,1493,-96,-96,-96,332,334
3113,1494,-94,-94,-94,338,340
3115,1495,-92,-92,-92,344,345
3117,1496,-90,-91,-91,349,351
3119,1497,-88,-89,-89,355,357
3121,1498,-87,-87,-87,361,363
3123,1499,-85,-85,-85,366,368
3125,1500,-83,-83,-83,372,374
3127,1501,-82,-82,-82,378,380
3129,1502,-80,-80,-80,384,386
3131,1503,-78,-78,-78,389,391
3133,1504,-76,-76,-76,395,397
3135,1505,-75,-74,-74,401,403
3138,1506,-72,-73,-73,407,409
3140,1507,-70,-71,-71,412,414
3142,1508,-69,-69,-69,418,420
3144,1509,-67,-67,-67,424,426
3146,1510,-65,-65,-65,429,432
3148,1511,-63,-64,-64,435,438
3150,1512,-62,-62,-62,441,443
3152,1513,-60,-60,-60,447,449
3154,1514,-58,-58,-58,452,455
3156,1515,-57,-56,-56,458,461
3158,1516,-55,-55,-55,464,466
3160,1517,-53,-53,-53,470,472
3163,1518,-50,-51,-51,475,478
3165,1519,-49,-49,-49,481,484
3167,1520,-47,-47,-47,487,489
3169,1521,-45,-46,-46,492,495
3171,1522,-44,-44,-44,498,501
3173,1523,-42,-42,-42,504,507
3175,1524,-40,-40,-40,510,512
3177,1525,-38,-38,-38,515,518
3179,1526,-37,-37,-37,521,524
3181,1527,-35,-35,-35,527,530
3183,1528,-33,-33,-33,532,535
3185,1529,-32,-31,-31,538,541
3188,1530,-29,-29,-29,544,547
3190,1531,-27,-28,-28,550,553
3192,1532,-25,-26,-26,555,558
3194,1533,-24,-24,-24,561,564
3196,1534,-22,-22,-22,567,570
